general_party,contributor,type_of_contributor,specific_business,general_industry,broad_sector,number_of_records,dollar_amount
Democratic,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,75,138486
Democratic,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,210,132670
Democratic,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,69,131350
Democratic,PHILADELPHIA FIRE FIGHTERS & PARAMEDICS LOCAL 22,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,133,123750
Republican,POLICE BENEVOLENT ASSOCIATION OF NEW YORK STATE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,230,120305
Republican,PENNSYLVANIA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,266,120055
Republican,WASHINGTON COUNCIL OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,198,118600
Democratic,SAN BERNARDINO COUNTY SAFETY EMPLOYEES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,18,114495
Republican,POLICE & FIRE RETIREES OF OHIO,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,291,110903.25
Democratic,COMBINED LAW ENFORCEMENT ASSOCIATION OF TEXAS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,172,109377.19
Republican,HOUSTON POLICE RETIRED OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,186,108000
Republican,NEW YORK STATE POLICE INVESTIGATORS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,180,106771
Republican,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,165,105700
Republican,TEXAS MUNICIPAL POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,131,105135
Democratic,NEWARK FRATERNAL ORDER POLICE LODGE 12,Non-Individual,Police unions & associations,Public Sector Unions,Labor,229,103340
Democratic,PENNSYLVANIA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,281,102540
Democratic,NASSAU COUNTY CORRECTIONS OFFICERS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,114,102450
Republican,SUFFOLK COUNTY DETECTIVES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,284,101800
Democratic,NASSAU COUNTY POLICE SUPERIOR OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,202,100380
Republican,NEW JERSEY STATE TROOPERS FRATERNAL ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,132,99080
Democratic,LOUISIANA SHERIFFS & DEPUTIES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,95,97650
Republican,COMBINED LAW ENFORCEMENT ASSOCIATION OF TEXAS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,121,92407.33
Republican,FRATERNAL ORDER OF POLICE LODGE 123,Non-Individual,Police unions & associations,Public Sector Unions,Labor,76,90850
Democratic,DALLAS POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,82,89569.45
Republican,CORRECTION OFFCIERS BENEVOLENT ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,63,87575
Democratic,SACRAMENTO COUNTY DEPUTY SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,29,84351.74
Democratic,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,127,82450
Republican,FORT WORTH POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,30,82151.09
Democratic,SUFFOLK COUNTY DETECTIVES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,225,81875
Republican,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,116,81875
Democratic,PRINCE GEORGES COUNTY PROFESSIONAL FIRE FIGHTERS & PARAMEDICS LOCAL 1619,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,101,81605
Democratic,HOUSTON POLICE RETIRED OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,140,81450
Democratic,SUFFOLK COUNTY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,115,81125
Democratic,POLICE CONFERENCE OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,122,81025
Republican,WASHINGTON STATE PATROL TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,96,78750
Democratic,DETECTIVES ASSOCIATION COUNTY OF NASSAU,Non-Individual,Police unions & associations,Public Sector Unions,Labor,160,78670
Democratic,SAN ANTONIO POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,76,78000
Democratic,SOUTHERN STATES POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,123,76848.75
Republican,NEW YORK CITY DETECTIVES ENDOWMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,152,75325
Republican,SUPERIOR OFFICERS ASSOCIATION OF SUFFOLK COUNTY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,185,73600
Republican,SAN BERNARDINO COUNTY SAFETY EMPLOYEES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,30,73200
Democratic,AUSTIN POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,39,72500
Democratic,SAN FRANCISCO POLICE OFFICERS ASSOCIATION LOCAL 9,Non-Individual,Police unions & associations,Public Sector Unions,Labor,48,71400
Republican,TEXAS DEPARTMENT OF PUBLIC SAFETY OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,67,71250
Democratic,COUNCIL OF METROPOLITAN POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,85,70450
Democratic,SAN JOSE POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,42,70400
Nonpartisan,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,92,69487
Democratic,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,93,67870
Republican,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,45,66900
Democratic,POLICEMENS BENEVOLENT & PROTECTIVE ASSOCIATION OF ILLINOIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,114,65100
Democratic,PRINCE GEORGES COUNTY FRATERNAL ORDER OF POLICE LODGE 89,Non-Individual,Police unions & associations,Public Sector Unions,Labor,125,64905
Democratic,SUPERIOR OFFICERS ASSOCIATION OF SUFFOLK COUNTY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,169,64650
Republican,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,39,62900
Republican,OHIO STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,141,61046
Republican,MICHIGAN STATE POLICE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,107,60650
Republican,LOS ANGELES POLICE PROTECTIVE LEAGUE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,22,60300
Democratic,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,187,59747.5
Nonpartisan,CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,20,59400
Democratic,RHODE ISLAND TROOPER ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,149,57700
Republican,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,66,57150
Democratic,FRATERNAL ORDER OF POLICE LODGE 5,Non-Individual,Police unions & associations,Public Sector Unions,Labor,76,56700
Democratic,POLICE ASSOCIATION OF YONKERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,55,56250
Democratic,SANTA ANA POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,38,54946.19
Republican,SUFFOLK COUNTY CORRECTION OFFICERS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,116,54935
Republican,MILWAUKEE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,120,54050
Democratic,FAIRFAX COALITION OF POLICE LOCAL 5000,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,53878.28
Democratic,BALTIMORE CITY FRATERNAL ORDER OF POLICE LODGE 3,Non-Individual,Police unions & associations,Public Sector Unions,Labor,86,53675
Nonpartisan,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,17,52700
Democratic,HOWARD COUNTY POLICE OFFICERS ASSOCIATION LODGE 21,Non-Individual,Police unions & associations,Public Sector Unions,Labor,51,51000
Republican,METROPOLITAN TRANSPORTATION AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,129,49225
Republican,NEW JERSEY STATE TROOPERS NON-COMMISSIONED OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,103,48305
Democratic,NATIONAL FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,20,46500
Republican,DETECTIVES ASSOCIATION COUNTY OF NASSAU,Non-Individual,Police unions & associations,Public Sector Unions,Labor,124,46075
Republican,NASSAU COUNTY POLICE SUPERIOR OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,131,44360
Republican,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,66,44250
Democratic,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,Non-Individual,Police unions & associations,Public Sector Unions,Labor,21,43750
Democratic,NASHVILLE FRATERNAL ORDER OF POLICE LODGE 5,Non-Individual,Police unions & associations,Public Sector Unions,Labor,22,43500
Democratic,WESTCHESTER COUNTY CORRECTIONS OFFICERS BENEVOLENT ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,108,42125
Democratic,MINNESOTA PEACE & POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,63,42063
Democratic,MONTGOMERY COUNTY FRATERNAL ORDER OF POLICE LODGE 35,Non-Individual,Police unions & associations,Public Sector Unions,Labor,57,42050
Democratic,POLICE BENEVOLENT ASSOCIATION LOCAL 105,Non-Individual,Police unions & associations,Public Sector Unions,Labor,56,42046.66
Republican,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,29,40700
Republican,ST LOUIS COUNTY POLICE ASSOCIATION FRATERNAL ORDER OF POLICE LODGE 111,Non-Individual,Police unions & associations,Public Sector Unions,Labor,31,40700
Democratic,MICHIGAN STATE POLICE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,78,39400
Democratic,WASHINGTON STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,44,38400
Democratic,OREGON STATE POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,65,37850
Republican,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,16,37550
Democratic,TEXAS MUNICIPAL POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,53,37250
Republican,SUFFOLK COUNTY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,74,36550
Democratic,DEPUTY SHERIFFS ASSOCIATION OF BEXAR COUNTY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,31,36392.56
Nonpartisan,CHICAGO POLICE SERGEANTS ASSOCIATION UNIT 156 A,Non-Individual,Police unions & associations,Public Sector Unions,Labor,45,35200
Democratic,PALM BEACH COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,46,34300
Democratic,TEXAS DEPARTMENT OF PUBLIC SAFETY OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,27,34250
Republican,SUFFOLK COUNTY SHERIFFS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,82,33860
Republican,PHILADELPHIA FIRE FIGHTERS & PARAMEDICS LOCAL 22,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,31,33500
Democratic,FORT WORTH POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,13,33000
Nonpartisan,RICHMOND POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,13,32800
Democratic,CORRECTIONS OFFICERS ASSOCIATION OF DELAWARE,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,98,32550
Democratic,MASSACHUSETTS ENVIRONMENTAL POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,108,31720
Republican,WASHINGTON STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,34,31500
Republican,POLICE CONFERENCE OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,70,31395
Republican,SACRAMENTO COUNTY DEPUTY SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,11,31300
Republican,TULSA FRATERNAL ORDER OF POLICE LODGE 93,Non-Individual,Police unions & associations,Public Sector Unions,Labor,46,31000
Democratic,CONTRA COSTA COUNTY DEPUTY SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,26,30995
Democratic,DELAWARE STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,150,30060
Democratic,CORRECTION CAPTAINS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,110,29325
Democratic,NEW ENGLAND POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,118,29325
Democratic,STATE LAW ENFORCEMENT OFFICERS LABOR ALLIANCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,82,29150
Democratic,VENTURA COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,14,28700
Democratic,LAW ENFORCEMENT FOR RESPONSIBLE PUBLIC SAFETY,Non-Individual,Police unions & associations,Public Sector Unions,Labor,31,28575
Democratic,WEST COUNTY DEPARTMENT OF CORRECTIONS SUPERIOR OFFICERS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,71,28395
Democratic,LIEUTENANTS BENEVOLENT ASSOCIATION OF NEW YORK CITY POLICE DEPARTMENT,Non-Individual,Police unions & associations,Public Sector Unions,Labor,65,28200
Democratic,LOS ANGELES AIRPORT PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,32,28200
Democratic,OAKLAND POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,16,28050
Democratic,WESTCHESTER COUNTY DEPARTMENT OF PUBLIC SAFETY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,49,27900
Democratic,LOS ANGELES SCHOOL POLICE MANAGEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,19,27850
Democratic,ANCHORAGE POLICE DEPARTMENT EMPLOYEES ASSOCIATIION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,30,27500
Democratic,PUBLIC SAFETY EMPLOYEE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,43,27450
Republican,NASSAU COUNTY CORRECTIONS OFFICERS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,64,27450
Democratic,BUFFALO PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,61,27225
Democratic,SANTA CLARA COUNTY CORRECTIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,13,26950
Democratic,STATE OF HAWAII ORGANIZATION OF POLICE OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,56,26350
Democratic,PATERSON PBA LOCAL 1,Non-Individual,Police unions & associations,Public Sector Unions,Labor,42,26350
Democratic,NATIVE AMERICANS & PEACE OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,2,26000
Republican,FIRE FIGHTERS & PARAMEDICS LOCAL 2546,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,33,25854
Nonpartisan,OMAHA POLICE LOCAL 101,Non-Individual,Police unions & associations,Public Sector Unions,Labor,18,25853.51
Democratic,MARSHAL ASSOCIATION OF CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,80,25775
Republican,LAS VEGAS POLICE PROTECTIVE ASSOCIATION CIVILIAN EMPLOYEES,Non-Individual,Police unions & associations,Public Sector Unions,Labor,11,25750
Democratic,POLICE OFFICERS ASSOCIATION OF MICHIGAN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,62,25725
Democratic,SUFFOLK COUNTY CORRECTION OFFICERS ASSOCIATION,Non-Individual,Corrections officers unions and associations,Public Sector Unions,Labor,79,25625
Democratic,ILLINOIS SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,42,25350
Republican,BUCKEYE STATE SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,47,25200
Republican,INDIANA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,80,25090
Republican,RIVERSIDE SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,10,24500
Democratic,SAN ANTONIO FIRE & POLICE PENSION ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,28,24374
Democratic,INDIANA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,69,24350
Democratic,YONKERS POLICE CAPTAINS LIEUTENANTS & SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,53,24300
Democratic,WEST VIRGINIA TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,31,24000
Democratic,PROFESSIONAL FIRE FIGHTERS & PARAMEDICS OF PALM BEACH COUNTY LOCAL 2928,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,36,23500
Republican,ILLINOIS TROOPERS LODGE 41,Non-Individual,Police unions & associations,Public Sector Unions,Labor,56,23185
Republican,ALABAMA STATE TROOPER ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,38,22750
Republican,COUNCIL OF METROPOLITAN POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,25,22525
Democratic,CALIFORNIA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,6,22500
Democratic,POLICE & FIRE RETIREES OF OHIO,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,60,22450
Republican,PHOENIX LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,37,22367
Republican,FLORIDA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,34,22250
Republican,ROCHESTER POLICE LOCUST CLUB,Non-Individual,Police unions & associations,Public Sector Unions,Labor,46,22048
Democratic,PORT AUTHORITY POLICE & DEA NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,39,21870
