election_jurisdiction,election_year,party,party_committee,contributor,type_of_contributor,specific_business,general_industry,broad_sector,parent_org_or_employer,number_of_records,dollar_amount
CA,2013,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,130000
CA,2016,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,130000
CA,2018,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,130000
FL,2019,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,9,127500
CA,2011,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,110000
CA,2012,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,110000
CA,2014,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,110000
NY,2016,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,110000
FL,2002,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,27,109964.79
CA,2008,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,105000
FL,2011,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,20,103000
CA,2012,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,102500
CA,2007,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,100000
CA,2009,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,8,100000
CA,2010,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,100000
CA,2011,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,100000
CA,2011,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,100000
CA,2016,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,100000
FL,2018,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,100000
WA,2000,Democratic,WASHINGTON STATE DEMOCRATIC PARTY,NATIVE AMERICANS & PEACE OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,100000
FL,2009,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,11,96000
CA,2013,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,90000
FL,2008,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,14,89500
CA,2006,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,85000
CA,2020,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,85000
FL,2007,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,14,80500
CA,2007,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,NA,3,80000
CA,2010,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,75000
NY,2018,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,75000
FL,2012,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,17,72500
NY,2013,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,68000
CA,2006,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,NA,3,67500
CA,2017,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,65000
FL,2003,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,17,65000
CA,2004,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,NA,3,61600
CA,2005,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,60000
FL,2013,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,60000
FL,2018,Republican,FLORIDA REPUBLICAN SENATE CAMPAIGN CMTE,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,60000
NY,2016,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,60000
NY,2018,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,60000
FL,2019,Republican,FLORIDA REPUBLICAN SENATE CAMPAIGN CMTE,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,9,58000
NY,2010,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,55500
CA,2013,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,55000
CA,2007,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,50000
CA,2007,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,50000
CA,2009,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,50000
CA,2009,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,50000
CA,2016,Republican,CALIFORNIA REPUBLICAN PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,50000
CA,2019,Democratic,CALIFORNIA DEMOCRATIC PARTY,LOS ANGELES POLICE PROTECTIVE LEAGUE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,50000
NY,2007,Democratic,NEW YORK STATE DEMOCRATIC PARTY,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,50000
NY,2010,Democratic,NEW YORK STATE DEMOCRATIC PARTY,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,50000
NY,2019,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,50000
NY,2014,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,49500
FL,2016,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,47500
FL,2005,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,7,46000
CA,2005,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,45000
FL,2017,Republican,FLORIDA REPUBLICAN SENATE CAMPAIGN CMTE,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,45000
NY,2011,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,45000
NY,2018,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,45000
NY,2010,Democratic,NEW YORK STATE DEMOCRATIC PARTY,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,43100
FL,2016,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,42500
FL,2013,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,9,41000
NV,2010,Democratic,ASSEMBLY DEMOCRATIC CAUCUS OF NEVADA,SOUTHERN NEVADACONFERENCE OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,41000
NV,2010,Democratic,NEVADA DEMOCRATIC PARTY,SOUTHERN NEVADACONFERENCE OF POLICE & SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,40000
NY,2013,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,40000
NY,2014,Democratic,NEW YORK STATE DEMOCRATIC PARTY,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,40000
NY,2000,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,7,38300
NJ,2017,Democratic,NEW JERSEY DEMOCRATIC PARTY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,8,37500
CA,2009,Democratic,CALIFORNIA DEMOCRATIC PARTY,LOS ANGELES POLICE PROTECTIVE LEAGUE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,35000
FL,2018,Democratic,FLORIDA DEMOCRATIC PARTY,PALM BEACH COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,35000
NY,2012,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,35000
NY,2015,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,35000
CA,2002,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,30000
CA,2004,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,30000
CA,2004,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,30000
CA,2016,Republican,CALIFORNIA REPUBLICAN PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,30000
FL,2009,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,30000
FL,2010,Democratic,FLORIDA DEMOCRATIC PARTY,PALM BEACH COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,30000
FL,2010,Democratic,FLORIDA DEMOCRATIC PARTY,DADE COUNTY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,30000
FL,2015,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,30000
NY,2000,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,30000
NY,2009,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,7,30000
NY,2010,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,30000
NY,2004,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,9,29600
NY,2019,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,29500
NY,2009,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,29000
NY,2015,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,29000
NY,2012,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,28841.28
NY,2008,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,28675.02
NY,2006,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,7,28200
NY,2014,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,27800
NY,2008,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF NEW YORK STATE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,27250
CA,2010,Democratic,CALIFORNIA DEMOCRATIC PARTY,LOS ANGELES POLICE PROTECTIVE LEAGUE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,27000
NY,2002,Republican,NEW YORK STATE REPUBLICAN PARTY,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,27000
NY,2014,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,26250
NY,2014,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,26000
NY,2017,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,26000
NV,2016,Democratic,ASSEMBLY DEMOCRATIC CAUCUS OF NEVADA,LAS VEGAS POLICE PROTECTIVE ASSOCIATION CIVILIAN EMPLOYEES,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,25500
CA,2001,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,NA,1,25000
CA,2002,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,NA,1,25000
CA,2005,Democratic,CALIFORNIA DEMOCRATIC PARTY,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,NA,2,25000
CA,2008,Republican,CALIFORNIA REPUBLICAN PARTY,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
CA,2014,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,25000
FL,2014,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,25000
FL,2015,Republican,FLORIDA HOUSE REPUBLICAN CAMPAIGN CMTE,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,25000
NJ,2001,Republican,NEW JERSEY REPUBLICAN PARTY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,25000
NJ,2005,Democratic,NEW JERSEY DEMOCRATIC PARTY,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NJ,2008,Democratic,NEW JERSEY DEMOCRATIC PARTY,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NJ,2009,Democratic,NEW JERSEY DEMOCRATIC PARTY,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NJ,2009,Democratic,DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NJ,2013,Republican,NEW JERSEY REPUBLICAN PARTY,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NJ,2017,Democratic,NEW JERSEY DEMOCRATIC PARTY,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,25000
NJ,2018,Democratic,NEW JERSEY DEMOCRATIC PARTY,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,25000
